,005001.OF,zhouqi,xiaofei,zhizao,TMT,jinrong
2020/1/13,0.0128,0.008366556,0.008752825,0.01040757,0.023437524,0.008495133
2020/1/14,-0.0019,0.005600035,-0.005483352,-0.000103504,-0.00505487,-0.003494219
2020/1/15,0.0001,-0.01076595,0.000606339,-0.007158933,0.009465649,-0.010054012
2020/1/16,0.0041,-0.003802931,-0.001271359,-0.000119183,0.000777149,-0.005960017
2020/1/17,-0.0004,-0.00031426,0.003040423,-0.002403739,-0.001947561,0.001353484
2020/1/20,0.0021,0.006305191,0.006639922,0.011430333,0.024840976,0.007467513
2020/1/21,-0.0042,-0.017447804,-0.00591097,-0.014189497,-0.011307959,-0.017974971
2020/1/22,0.0134,0.00469607,-0.007285237,0.00912395,0.02390653,0.003252795
2020/1/23,-0.027,-0.034474155,-0.029466058,-0.0296479,-0.036827265,-0.0301091
2020/2/3,-0.0599,-0.089351642,-0.060999941,-0.08395132,-0.094167579,-0.07888261
2020/2/4,0.0365,0.010449444,0.028171736,0.014386686,0.030165254,0.015221643
2020/2/5,0.0092,0.019776487,0.032748988,0.025882931,0.021226448,0.004569982
2020/2/6,0.0264,0.019764391,0.028360091,0.023326047,0.038462746,0.013082457
2020/2/7,0.0067,0.002257379,-0.003877253,0.008041515,0.027421968,-0.002494363
2020/2/10,0.0118,0.025956008,0.002629531,0.020007282,0.002879563,0.003459346
2020/2/11,-0.0016,0.00382665,0.005479001,-0.005418086,0.000440591,0.007076306
2020/2/12,0.011,0.017664509,0.007537045,0.015714843,0.030026488,0.00469559
2020/2/13,-0.0075,-0.001989414,-0.011685187,-0.006365255,-0.002871407,-0.0064196
2020/2/14,0.0008,0.006473843,0.002778607,-0.002632108,0.003002027,0.013920544
2020/2/17,0.0199,0.026122363,0.018705575,0.035534977,0.041513621,0.023414416
2020/2/18,0.0068,0.004820837,-0.000357265,0.01550702,0.025842819,-0.009074868
2020/2/19,-0.0101,-0.005291004,-0.004102903,-0.00273812,-0.011939458,0.001521808
2020/2/20,0.0154,0.013120202,0.017793171,0.020201123,0.027281837,0.025641841
2020/2/21,0.0046,0.007094834,0.00245232,0.00945353,0.028349004,-0.004176572
2020/2/24,-0.0031,1.53E-03,0.000930644,-3.23E-05,0.041348548,-0.010478796
2020/2/25,-0.001,-0.006167683,0.002348918,0.003618128,0.011490117,-0.003018666
2020/2/26,-0.0193,-0.001804678,-0.015148737,-0.01503358,-0.049902891,0.00068544
2020/2/27,0.0046,0.001170074,0.007748951,0.004353608,0.003854869,-1.56E-05
2020/2/28,-0.0231,-0.040637715,-0.033110249,-0.050321394,-0.06066876,-0.033754239
2020/3/2,0.0291,0.052521622,0.027476556,0.038443633,0.041041955,0.031424716
2020/3/3,0.0086,0.007034246,0.015708423,0.009867184,0.01079634,0.002959909
2020/3/4,0.007,0.012319923,0.007528192,0.004864936,-0.012456809,0.016276028
2020/3/5,0.0084,0.012800994,0.032754669,0.017089525,0.00604906,0.023391309
2020/3/6,-0.0101,-0.006829849,-0.00365067,-0.00533966,-0.010176646,-0.022106112
2020/3/9,-0.0244,-0.036859766,-0.024068608,-0.034764584,-0.054769199,-0.028587409
2020/3/10,0.0179,0.017071875,0.011243746,0.024000143,0.049785985,0.017550487
2020/3/11,-0.0148,-0.013882444,-0.007064914,-0.005438164,-0.024916843,-0.013684709
